,description
Al-Nafi,Al Nafi is an organization with a vision to bring world class education within the reach of everyone.
SOCIRIS,"An AI-Powered Intrusion Detection, Prevention & Surveillance System"
freifunk,
freifunk-gluon,"Projects around Gluon, a modular framework for creating OpenWrt-based firmwares for wireless mesh nodes."
ffac,"Aachen, Städteregion und Umgebung"
assume-framework,Agent based market model toolbox
leftwm,
upb-lea,Department of power electronics and electrical drives
soztag,Data Science at the Chair for Sociology Prof. Dr. Sabine Pfeiffer at Friedrich-Alexander University Erlangen-Nürnberg
r-lib,
JCMSK,Jupyter Community | MusculoSKeletal imaging
FEZ-Finite-Element-Zurich,An initiative to promote open sharing of Finite Element resources for biomechanists
TuxRiders,
pykeen,Predictions for the People
BieglersGroup,
kLabUM,
open-storm,
deepsphere,"Learning on the sphere (with a graph-based ConvNet). Used so far for cosmology, geophysics, 3D object recognition."
mantidproject,
neutrons,
kguei,
OpenGridMap,Open community crowdsourcing power grid data
graphql-brasil,Awesome GraphQL developers from Brazil
z-shell,Open-source society passionate about Zsh
siege-green,EVE ONLINE - Siege Green Alliance
tianxianbaobao,
GPM-lib,
PyladiesSthlm,
coin-or,Computational Infrastructure for Operations Research.
PSORLab,The PSOR Laboratory at UConn develops numerical analysis methods and software for process systems engineering applications.
Meytik11,
DrafProject,"Home of Demand Response Analysis Framework (DRAF), it's modules, and showcases."
switch-model,Optimal planning model for power systems with large shares of renewable energy
robotology,Group software repositories of the iCub eco-system (but code developed is not necessarily iCub specific!).
ami-iit,
icub-tech-iit,iCub Tech Facility at Istituto Italiano di Tecnologia
TeamJ19ROADEF2012,
combogenomics,Florence Computational Biology Group
RunnerPyzza,
PowerGridModel,Steady-state distribution power system analysis
faktaoklimatu,Iniciativa veřejných infografik o změně klimatu
jCoderZ,
Aalto-Electric-Drives,
sbmlteam,The team supports SBML infrastructure & the SBML community.  Note: additional team projects are located in SourceForge at https://sourceforge.net/projects/sbml/
tensorflow,
combine-org,The 'COmputational Modeling in BIology' NEtwork (COMBINE) is an initiative to coordinate the development of standards and formats for computational biology
casics,Comprehensive and Automated Software Inventory Creation System
googlers,Googlers on GitHub
AI4LAM,"AI4LAM is an international, participatory community focused on advancing the use of artificial intelligence in, for and by libraries, archives and museums."
SciCodes,Consortium of scientific software registries and repositories.
Michaelpaulino,
bigladder,Building Energy Simulation Tools
cosmo-sims,Tools for numerical cosmology
pymc-devs,
JuBiotech,
sustainableaviation,Sustainable Aviation Research at ETH Zurich and Paul Scherrer Institute
zynaddsubfx,A Musical Software Synthesizer
mruby-zest,The Zest Framework Used In ZynAddSubFX's UI
gridsuite,
googlers,Googlers on GitHub
vidibus,
msysgit,This organization has been superseded by https://github.com/git-for-windows
thehackerwithin,
numfocus,Non-profit organization promoting accessible and reproducible scientific and technical computing
BreakingBytes,
pvlib,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
PVSC48-Clipping-loss-validation,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
NixOS,
doritool,
rwth-acis,
learning-layers,Scaling up Technologies for Informal Learning in SME Clusters
shahriarspace,
ai4energy,数智能源研究组
IDAES,Institute for the Design of Advanced Energy Systems
ldbc,
SiLab-Bonn,"Silicon Lab Bonn, Detector Physics Group"
LabellersGuild,
RWTH-OS,Part of the Institute for Automation of Complex Power Systems
RWTH-ACS,
hermit-os,"A Rust-based, lightweight unikernel."
rust-osdev,Operating System Development in Rust
threeten-jaxb,
unikraft,A Unikernel Development Kit. Extreme Specialization for Security and Performance.
rosenpass,
unikernelalliance,
metro-nom,Setting the pace for food and technology
smart-energy-di,
ProjectBabbage,Building things within a weekend timespan. New edition every six month. On invitation.
IMT-Atlantique-FIL-2020-2023,School work from students doing a Master's degree in software engineering in apprenticeship at IMT Atlantique
qualeus,Physics-engine and visualisation software
naomesh,Distributed computing orchestrator for green photogrammetry
tablatures,Online guitar sheet player and database aggregator
RobotiXX,
openego,open electricity Grid optimization
chapman-biol302,Introduction to Bioinformatics
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
OpenSourceEconomics,"A platform for transdisciplinary collaboration in the development, analysis, and application of computational economic models."
Data-Science-in-Mechanical-Engineering,Public code repository of the Institute for Data Science in Mechanical Engineering at the RWTH Aachen University
Centre-automatique-et-systemes,
ArtalkJS,Your Self-hosted Comment System.
JuliaComputing,
compas,The Computational Atomic Structure group
JuliaDocs,Documentation-related packages for Julia.
JuliaAtoms,
rl-institut,
7DET,"Hard tech education, engagement and support. Built in Detroit."
sintefmath,
BattMoTeam,Models for batteries and electrochemical devices.
box-id,
cleanweb-uk,
productscience,
thegreenwebfoundation,The Green Web Foundation - Let's make the web green
researchops,
Greening-Digital,Sustainability for digital teams
bosondata,BosonData Inc
amd,
openPMD,Open Standard for Particle-Mesh Data
ROCm,
AMReX-Codes,AMReX-Codes: Block-Structured AMR Software Framework and Applications
ECP-WarpX,NOTE: We moved to https://github.com/BLAST-WarpX
AMD-HPC,
BLAST-WarpX,WarpX is an advanced electromagnetic & electrostatic Particle-In-Cell code.
LocPrivFogSim,
VirtualWatershed,
ds4dm,
CCT-JunITer,We are a IT-Consultancy // Software Development Team run by TU Berlin students of various academic backgrounds
RWTH-ACS,
VILLASframework,VILLASframework is a toolset for local and geographically distributed real-time co-simulation.
dfirtrack,
neuland,
evcc-io,Sonne tanken ☀️🚗
aileagueio,
needbrasil,
kubis-ai,
Zenmo,
foss4good,Free and open source software for good
jointhesong,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
openego,open electricity Grid optimization
rl-institut,
OSGeo,Empower everyone with open source geospatial
GRASS-GIS,"Outdated here, use https://github.com/OSGeo/grass"
mundialis,free data with free software
Open-EO,"openEO develops an open API to connect R, Python, JavaScript and other clients to EO cloud back-ends in a simple and unified way."
actinia-org,The geoprocessing platform actinia analyses large volumes of Earth-observation and geodata in the cloud. Repo overview at https://actinia-org.github.io/
stuvusIT,stuvus IT Team - Studierendenvertretung Universität Stuttgart
FIUS,Student association of computer science
c-hack,C-Hack: Der Calwer Hackerspace
AmyAssist,
Schall-Rauch,"The ""schall&rauch"" festival"
architecture-building-systems,Research group at ETH Zürich with a focus on active and passive systems for the energy supply and climate control of buildings and cities.
IndEcol,Open source software and other material for industrial ecology
YaleCIE,
ieeeupsb,IEEE Student Branch - University of Porto (UP)
reunb,
cosseno-com,A plataforma oficial do estudante.
magnusIQ,
gatherly-eu,
NZMSA,
UNSW-CEEM,
Open-ISP,An accessible and transparent electricity system model based on the Australian Energy Market Operator’s ‘Integrated System Plan’
assume-framework,Agent based market model toolbox
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
RelationalAI,
JuliaServices,
JuliaEcosystem,
morgansolar,
todogroup,TODO Group
freedomvote,
fsfe,Mirror of a few popular FSFE repositories. All repositories on https://git.fsfe.org
oss-review-toolkit,
com-pas,61850 SCL management and configuration tool
alliander-opensource,Open Source repositories from Alliander. Interested? Send us an e-mail!
shapeshifter,"Shapeshifter implements the Universal Smart Energy Framework for flexibility forecasting, offering, ordering, and settlement processes."
ospo-nl,"Open Source Program Office collaboration, best practices of NL parties"
GMLC-TDC,Repository for the GMLC TDC tool suite - HELICS
Enapter,Shaping the energy systems of the future.
openhab,
PowerGridModel,Steady-state distribution power system analysis
NREL,
NREL-cookbooks,
SEED-platform,Standard data platform for aggregating and managing building energy performance data
HoneyPatch,
ASHRAE,"Repos for the American Society of Heating, Refrigerating, and Air-Conditioning Engineers"
BuildingSync,
ibpsa,International Building Performance Simulation Association
OpenEfficiencyPlatform,
urbanopt,URBANopt
henze-research-group,This organization contains repositories of ongoing research projects in Gregor Henze's Research Group at the University of Colorado Boulder
BuildingEnergyTools,
ClimAg,"Repositories for the EPA Research Project ""ClimAg: Multifactorial causes of fodder crises in Ireland and risks due to climate change"" and other related projects"
wind-to-hydrogen-toolkit,"Tools to study the integration of offshore wind with the production, storage, and utilisation of hydrogen"
spine-tools,Open source modelling tools
WISPO-POP,
fs-geofs,
sensebox,The senseBox is a Citizen Science DIY Toolbox for schools and citizens.
sitcomlab,"Working group of the Situated Computing Lab (Institute of Geoinformatics, Muenster)"
go-gitea,Git with a cup of tea
itesla,
Artelys,Optimization solutions
powsybl,Power System Blocks
G-PST,Our Mission is to bring together key actors to foment a rapid clean energy transition at unprecedented scope and scale
quintel,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
qojulia,Umbrella organization for Quantum Optics related projects in Julia
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
QuantumEngineeredSystems,
powsybl,Power System Blocks
cocreation,Entrepreneurs crafting mobile applications for teams
acmroboticsspc,
wgapl,Github page of Wood Gesellschaft Applied Physics Laboratory
phytomech,Changing the way we grow plants.
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaCon,The Julia Conference
JuliaStochOpt,Stochastic Optimization in Julia
jump-dev,An organization for the JuMP modeling language and related repositories.
robotmoose,ITEST: Being There telepresence robotics software
UAFRMC,The University of Alaska Fairbanks team's entry in the NASA Robotic Mining Competition
balmorelcommunity,
ReeemProject,Role of technologies in an energy efficient economy – model based analysis policy measures and transformation pathways to a sustainable energy system
energy-modelling-club,
etsap-TIMES,
Modelling-Team-GR,
MaREI-EPMG,
esma-cu,
times-ukraine,
lanl,
powsybl,Power System Blocks
panocomputer,Implementing computers on FPGA in Pano Logic thin clients
JuliaLang,The Julia Programming Language
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCloud,Cloud service interfaces for Julia
beacon-biosignals,
JuliaTesting,Testing tools for the Julia language
AltruismeEfficaceQuebec,
Macroscope-House,Intentional community from the rationalist / effective altruist community
commonpool,
HorizonEventsAgency,
CoincidenceNetwork,Flexible and private matchmaking protocol and apps
CovalenceNetwork,
provablysafeai,
HorizonOmega,
openjournals,"Open Journals is a collection of open source, open access journals"
data2people,
Yello-Solar-Hub,"A Yello Solar Hub revoluciona o mercado solar, oferecendo uma experiência 100% digital e sob demanda. Do cálculo do seu projeto à instalação, tudo acontece de f"
invenia,
ucc,"The UCC is probably the best computer-focused institution in the world. Well, at least at the UWA. Maybe not best, definitely the oldest."
JuliaText,"JuliaLang Organisation for Natual Language Processing, (textual) Information Retrieval, and Computational Linguistics"
JuliaDatabases,Various database drivers for Julia
JuliaCon,The Julia Conference
JuliaDiff,Differentiation Tools in Julia
JuliaGraphics,
JuliaWeb,Web technologies in the Julia Programming Language
openjournals,"Open Journals is a collection of open source, open access journals"
JuliaML,Julia packages for Machine Learning
JuliaString,Organization for Julia string handling packages
JuliaEditorSupport,This organization hosts julia extensions for various text editors and IDEs
JuliaCrypto,Cryptography made easy in Julia
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
FluxML,The Elegant Machine Learning Stack
JuliaTesting,Testing tools for the Julia language
JuliaLogging,
powsybl,Power System Blocks
rosmod,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
Inovesa,
kmi,
hipster4j,An Open Source Java Library for Heuristic Search
saezlab,Julio Saez-Rodriguez's group @ EMBL-EBI and Heidelberg University
MetExplore,
covid19-modeling,
scapeML,
nodeschool,Open source workshops that teach web software skills
lucpod,
nuqleartech,
promethiumjs,
numixproject,A modern visual brand.
Daemon-Computer,
JuliaComputing,
JuliaPluto,🎈 Simple reactive notebooks for Julia — https://github.com/fonsp/Pluto.jl
CrearAyT,
inaes-tic,
EpicGames,
telescopio-montemayor,
fm-futura,
ParOne,AI-Powered Video Solutions for Golf
WattRex,
organicmaps,"Detailed Offline Maps for Travellers, Tourists, Hikers and Cyclists "
saec-dresden,
AC-Fernglas,
codez-one,
WirVsVirusCovidTestProcess,
HMP-Solutions,
CircuitVerse,
BlockchainClimateInstitute,Non-for-profit working on Data Technologies
LLNL,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place."
GISDATAio,
gremio-eci,Grêmio de Engenharia de Computação e Informação da UFRJ
UFRJ-Analytica,UFRJ's data science competition team.
cyberespaco,
powerpointers,
SECQUOIA,The Systems Engineering Classical and Quantum Optimization for Industrial Applications (SECQUOIA) research group at Purdue University.
JuliaQUBO,"QUBO modelling, solvers & tools. A joint work of @psrenergy and @SECQUOIA"
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
NITeQ,
JuliaQUBO,"QUBO modelling, solvers & tools. A joint work of @psrenergy and @SECQUOIA"
uf-mil,
judou,20 年前挖的NLP的坑，现在填一下
NREL-Sienna,Open Source Tools for Scientific Energy Systems Analysis
UNH-CORE,UNH Center for Ocean Renewable Energy
calkit,Reproducibility = productivity
phpbrew,The PHPBrew Headquarters
SeLite,Reuse navigation scripts in Selenium IDE
BeautyInfo,Provide Beauty information
NTTU-Open,
ar2labs,Community & Collaboration
linna,PHP Tools for Web Applications.
thank-you-php,An open letter of gratitude to PHP
PayCrypto,
sunrise-php,"Simple, yet effective solutions."
alphazframework,AlphaZ is a simple yet powerful PHP MVC framework for rapid application development that is suited for small to medium scale apps and APIs.
antidot-framework,Antidot Framework and Component Development
selective-php,Collection of awesome PHP packages
free-open-source,
open-source-contributions,
lazzard,We Make Things That Do Stuff
Pharaonic,Pharaonic provides a variety of packages. Our goal is helping every developer around the world finish their project as quickly as possible and with no effort.
iii-api-platform,
softavnetworks,
PowerGridModel,Steady-state distribution power system analysis
GMLC-TDC,Repository for the GMLC TDC tool suite - HELICS
tis-innovation-park,TIS innovation park has been merged into the new service agency IDM-Südtirol. The repos can be found under new organisazion https://github.com/idm-suedtirol
NexdApp,
GWI-UMSICHT,
Critical-Infrastructure-Systems-Lab," Connecting climate, water, and energy"
nimib-land,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
JuliaDynamics,"A Julia-based software organization for dynamical systems, nonlinear dynamics, complex systems and the complexities of the scientific life"
StatisticalRethinkingJulia,Julia versions of the 'golems' in Statistical Rethinking by Richard McElreath.
JuliaCommunity,Organizing Julia Community Initiatives
InPhyT,"Complex Systems Modelling Group: Computational Social Science, Epidemiology and Neuroscience."
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
DoriaLab,Handmade with passion since 1905.
UniTo-SEPI,Health data science collaborative project between the University of Turin (UniTo) and the Piedmont Epidemiological Service (SEPI).
BayesianDataAnalysisJulia,"@JuliaLang implementation of concepts, methods and examples from ""Bayesian Data Analysis"" by Gelman, Carlin, Stern, Dunson, Vehtari and Rubin."
NeuronalDynamicsJulia,"@JuliaLang implementation of models and exercises from the ""Neuronal Dynamics"" book and course by Gerstner, Kistler, Naud and Paninski."
JuliaEpi,Computational epidemiology in @JuliaLang.
JuliaTrustworthyAI,Home for repositories of the Taija (Trustworthy Artifical Intelligence in Julia) project.
TidierOrg,Making Julia a Tidier Place for Data Analysis
FormalMathematicsLab,
dialogicnl,Dialogic is an independent research and consultancy firm focusing on innovation issues in the public sector.
bionnx,"Bringing bionic capabilities to you through machine learning, Rust, WebGPU and ONNX"
powsybl,Power System Blocks
keedrop,Secure secrets transfer
IS3UniCologne,Git Repository of the Chair for Information Systems for Sustainable Society at the University of Cologne
interactiveinstitute,
sp-etx,
YanziNetworks,
MESAHub,Modules for Experiments in Stellar Astrophysics
flatironinstitute,@SimonsFoundation
scientific-computing-handbook,"Your definitive guide to implementing algorithms for scientific computing in C++, Python, and Julia"
CCA-Software-Group,Organization hosting various projects of the CCA Software Group.
Open-ISP,An accessible and transparent electricity system model based on the Australian Energy Market Operator’s ‘Integrated System Plan’
PrincetonUniversity,
mfem,"a lightweight, general, scalable C++ library for finite element methods"
xsdk-project,Organization for the Extreme-scale Scientific Software Development Kit (xSDK)
ginkgo-project,Informal organization steering the development of the Ginkgo library and related software.
locuslab,Zico Kolter's Research Group
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
vagrant-libvirt,
OpenLeo,OpenLeo is a collective that aims to create an opensource car electronics and software ecosystem.
litestar-org,Effortlessly Build Performant APIs
jolt-org,Just Jolt.
znc,
awesomeWM,
CvO-Theory,
spine-tools,Open source modelling tools
pypsa-meets-earth,An open source energy system model initiative for our Earth
doctolib,Our mission is to build together the healthcare we all dream of. Learn more about our engineering team on our career page.
RhobanProject,
KwangIO,
apache,
JuliaLang,The Julia Programming Language
JuliaStats,Statistics and Machine Learning made easy in Julia
JuliaDatabases,Various database drivers for Julia
JuliaWeb,Web technologies in the Julia Programming Language
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCloud,Cloud service interfaces for Julia
JuliaStrings,
JuliaServices,
JuliaLogging,
appministry,
gossiperl,"Gossiperl is a language agnostic, Apache Thrift based gossip middleware and message bus."
combust-labs,
jmscslgroup,The Compositional Systems Lab (CSL) is located within the Institute for Software Integrated Systems at Vanderbilt University
CIRCLES-consortium,
AARC-lab,"AI, Autonomy, Resilience, and Control Lab"
apache,
SkyAPMTest,
SkyAPM,
mosn,The Cloud-Native Network Proxy Platform
scultura-org,
OpenFunction,OpenFunction is a cloud-native open source FaaS (Function as a Service) platform
NovvumHacks,
Circuitscape,Circuit-theoretic computations for landscape ecology
JuliaDatabases,Various database drivers for Julia
cetlab-ucsb,
invenia,
LAMPSPUC,"Laboratory for research and development on mathematical programming (optimization) and statistics. Electrical and Industrial Engineering departments, PUC-Rio."
psrenergy,PSR has been a global provider of technological solutions and consulting services in the areas of electricity and natural gas (E&G) since 1987.
zndx,
powsybl,Power System Blocks
MATPOWER,
KSA-Oepites-Zomergem,
greylon,Greylon Ltd.
clothesnetwork,Clothes Network Ltd.
Orpiva,Look good feel great! Changing the way how you shop for fashion.
EpicGames,
OCA,The GitHub repos for all Open Source work around Odoo
sragendevs,"Komunitas IT developers yang berasal dari sragen, jawa tengah."
CMU-IDeeL,
SNL-WaterPower,
valiot,
hpi-swa-teaching,Student projects
MaxiNet,
Exposify,"Checkout our API product for real estate plattforms, EstateSync:"
containernet,A Mininet fork that allows to use Docker containers as hosts to emulated networks.
HPI-Information-Systems-Teaching,
EstateSync,
csvsoundsystem,
browninstitute,Story + Technology
thaneyriordan,
rlai-lab,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
rmax-archive,The repositories here are kept for historical or backup reasons. They will be no longer maintained whatsoever.
rmax-contrib,The repositories here are forks of open-source projects where I made or plan to make contributions to.
Barunastra-ITS,
Rackow-Schulen,Higher education company based in Berlin and Frankfurt
Farama-Foundation,The Farama foundation is a nonprofit organization working to develop and maintain open source reinforcement learning tools.
Energy-MAC,EMAC does research to advance decarbonization pathways for the electric grid.  Our members work and study at UC Berkeley and Lawrence Berkeley National Lab.
JuliaStats,Statistics and Machine Learning made easy in Julia
invenia,
Beckerlab,Neurotechnology and Neuroplasticity Lab
JuliaTime,Date and Time libraries for the Julia Language
JuliaData,"Data manipulation, storage, and I/O in Julia"
JuliaCloud,Cloud service interfaces for Julia
JuliaPy,Software that connects the Julia and Python languages.
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
powsybl,Power System Blocks
MERLCenter,"Exploring the use of technology for monitoring, evaluation, research, and learning."
INATECH-CIG,
LITIC-bv,
Doing-The-Math,For a Sustainable Future
isi-ies-group,Instruments and Systems Integration group - Solar Energy Institute - Universidad Politécnica de Madrid
ETSIDI-py,Promoción de la programación práctica y divertida en la ETISID-UPM (basada en Python)
DAXGRID,DAX is a specialist in software solutions tailored for utility companies involved in electricity and fiber distribution.
strnx,
NOVAGIS,
isegimap,
MapLesotho,
cgmes,CIM profiles for TSO system development and system operation data exchanges
caseformat,Power flow case data file format
cktcsv,Unbalanced multi-phase circuit data in CSV format
powe-rs,
aximgeo,Clarity Through Geography
tweetbill,
byuflowlab,"Fight, Learning, Optimization, and Wind"
wgu-101,
smallbunnies,
ES-DOC,"Earth System Documentation (ES-DOC) project supplies high-quality tools & services in support of earth system documentation creation, analysis and dissemination"
cf-convention,Source code repository for CF Conventions documents at http://cf-convention.github.io
ES-DOC-INSTITUTIONAL,
NCAS-CMS,Useful tools to support NERC weather and climate research
torusa,"Tom, Ruby & Sadie"
2021-Energy-Climate-Hackathon,
IS-ENES3,Infrastructure for the European Network for Earth System Modelling
GreenScheduler,
NCAS-VISION,"VISION: Virtual Integration of Satellite and In-Situ Observation Networks, a project by NCAS: National Centre for Atmospheric Science"
urbanopt,URBANopt
railslove,"We're an agile team building new products for the web. And oh boy, we're kind of good at it. Want to work with us?"
e4st-dev,"Projects for the Engineering, Economic, and Environmental Simulation Tool"
groupoasys,
tud-energy-economics,Chair of Energy Economics at TU Dresden
agoenergy,"Agora Energiewende is a think tank that develops evidence-based and politically viable strategies to advance the goal of climate neutrality in Germany, Europe, "
learning-gardens,Learning Platform and Support Structure
new-computers,"a group of people interested in “What’s After Now”, the alternative form, A New Spirit of Computation, PC Futures, etc..."
go-schwab,building go wrappers & tools for schwab's api products
JuliaBayesianOptimization,
Boavizta,
Hugging-Face-Helping-Hand,
genai-impact,
RSE-TGM,
grueneschweiz,
jungegruene,Giovani Verdi Svizzera ፨ Jeunes Vert·e·x·s Suisse ፨ Junge Grüne Schweiz ፨ jungegrüne
E3SM-Project,Repositories associated with the E3SM Project
agoenergy,"Agora Energiewende is a think tank that develops evidence-based and politically viable strategies to advance the goal of climate neutrality in Germany, Europe, "
open-source-uc,"Community of students, alumni and professors from the Catholic University of Chile working together to create and maintain awesome open-source projects."
ieeh-tu-dresden,Official github account of the IEEH (@ TU Dresden) - one of the leading German higher education research institutes in the field of power systems
LivGen,
esgf-nimbus,
levigo,Wir sind Hersteller leistungsstarker Software für den Plattform-unabhängigen Zugriff auf Dokumentenmanagement-Systeme.
ComputationalRadiationPhysics,
openPMD,Open Standard for Particle-Mesh Data
alpaka-group,Abstraction Library for Parallel Kernel Acceleration
U-QASAR,
typhon-project,Polyglot and Hybrid Persistence Architectures for Big Data Analytics
survemobility,Europe’s No 1 for intelligent shared mobility operations.
sophisticates,
ampeersenergy,Einfache & Profitable CO2-Minderung für die Immobilienwirtschaft
ARM-DOE,
MLabUofA,
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
dspace-group,Your Partner in Simulation and Validation
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
python-hyper,HTTP for Python
urllib3,
psf,
frankarobotics,"Founded in 2016, Franka is a robotics platform company. Our products are designed and developed in Munich, and manufactured in Bavaria"
ALaDyn,
rte-france,
rte-antares-rpackage,RTE ANTARES R PACKAGE
hadar-simulator,open source python adequacy library for everyone
rsnapshot,The rsnapshot backup software
powsybl,Power System Blocks
Pi-Star-Lab,"Pi Star is a research lab at the Computer Science & Engineering Department, Texas A&M University"
Hybridrain,Serving the basics
wario-land,
NREL,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
sc-lab,
best-practicers,Best practicing our way to a better Ethereum
WrappedBasketz,"ERC20 into ERC721, Chainlink Hackathon project"
tdcosim,PSSE + OpenDSS + DER co-simulation project
solventx,A repository for solvent extraction process design and simulation.
NixOS,
AllThing,We are the AllThing. You will love us.
scirate,
OpenScienceWorkshops,
hahayes,creative group based in austin texas and melbourne australia.
SexMonad,
stupidhackathonmelbourne,
internet-high-five-machine,
ml-lab,forks of interesting repos relating to machine learning
MachineLearningUniversity,
composeconference,
DataHaskell,The home of Haskell data science
ComputingVisions,
QuantixManifold,
Quantum-AI-Blockchain,
MFPAI,
vandersilk,
BraneShop,
BetweenBooks,
rowtype-yoga,
QuantumHaskell,
FixPlanet,Supporting you to find a sustainable fixed point for the planet :)
HEPTACOM,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
corticalsim,
IEPG,
FiniteVolumeTransportPhenomena,Modeling of transport phenomena using the finite volume method
calculix,Developers area of CalculiX Finite Element Software
rendercv,Our mission is to build the best tools for academics and engineers to write and maintain their Typst-based professional CVs.
calliope-project,A multi-scale energy systems modelling framework
openmod-initiative,
renewables-ninja,"Renewable energy simulations, ninja style."
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
Open-Power-System-Data,
sentinel-energy,Sustainable Energy Transitions
liacs-EDA,
alohaeditor,A JavaScript library to replace contentEditable with better capability
sandstorm,sandstorm - building great web applications
neos,Neos is a Content Application Platform with a CMS and an application framework at its core.
bnw-digital,Arbeitsgruppe Digitales im Bundesverband Nachhaltige Wirtschaft
uDeviceX,In Silico Lab-On-A-Chip
dd-harp,
AlgebraicJulia,An Ecosystem of Software Based on Generalized Algebra and Category Theory in Julia
tc39,"Ecma International, Technical Committee 39 - ECMAScript"
ocaml,The OCaml functional programming language and system
ocsigen,
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
asdf-vm,
tc39-transfer,This organization is used as an intermediary when transferring proposal repos into the tc39 org.
asdf-community,"A collaborative, community-driven project for the long-term maintenance of asdf plugins."
fossa-contrib,Unofficial repositories
hashicorp-contrib,Unofficial repositories
pulumi-contrib,Unofficial repositories
AdvancedBrawlStats,A place for all things statistics and brawl!
DialRC,Dialog Research Center at CMU
soco-ai,Language-defined Multimodal Understanding
asyml,"Machine Learning as Machine Assembly, part of the CASL project https://www.casl-project.ai/"
hyperwell,An Infrastructure for P2P Linked Data annotations.
sphere-radio,
bincrafters,A team for OSS developers to collaborate on binary packaging of libraries.
Fairplay-Heroes,Live Integration Arena
thermocycle,
energy-modelling-toolkit,A fully open inter-institutional energy modelling group. It serves as an umbrella organization that hosts open datasets and models.
RAMP-project,Stochastic multi-energy load profiles
sopython,Python chat on Stack Overflow
NREL,
zavalab,The Scalable Systems Lab at UW-Madison
MadNLP,
WhitestormJS,3D Web framework (engine)
Shyran-Systems,"Community, Services, Consulting"
wallo-archive,modern access control
ait-energy,
redaxo,c/o Yakamara Media GmbH & Co. KG
propelorm,
amphp,"AMPHP is a collection of high-quality, event-driven libraries for PHP designed with fibers and concurrency in mind."
stomp-php,Stomp PHP Client Maintenance
FriendsOfREDAXO,Gemeinsame REDAXO-Entwicklung!
jquery-validation,people and sources arround the jquery validation plugin project
sabre-io,
Bravos-Power,Bravos Power builds next-generation analytical systems for trading financial products across different power markets in North America.
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
Dartroom,Curated NFT marketplace on the Algorand network.
Fox-Stone-Projects,Makers of Dorpel Op Maat
w3c,We are an international community that develops open standards to ensure the long-term growth of the Web. Most of our groups do their work here.
aio-libs,The set of asyncio-based libraries built with high quality
home-assistant,Open source home automation that puts local control and privacy first. Powered by a worldwide community of tinkerers and DIY enthusiasts.
lowvisiongeek,
bazzline,Place for free as in freedom free software components. Its an organization so every one can join :-).
MediaLibrary,
Sektion9,
time-registration,
saxony,
be-excellent-to-each-other,
elbzone,
phpugfg,
in-your-face-productions,
billoboys,
the-g-attitude,
gescheid,
RWTH-OS,Part of the Institute for Automation of Complex Power Systems
nak-sued-webmasters,Community of webmasters of New Apostolic Church in South Germany. Goal: CMS solution for websites of church districts.
Sybit-Education,Educational projects at Sybit GmbH to power up our youngsters - www.sybit.com
volkszaehler,Open Source Smart Metering platform
RWTH-OS,Part of the Institute for Automation of Complex Power Systems
RWTH-ACS,
pion,"The Open Source, Cross Platform Stack for Real-time Media and Data Communication."
cunicu,zeroconf • p2p • mesh • vpn
caltech-netlab,
Pure-Driving-School,
mHealthBuet,
NLeSC,
calliope-project,A multi-scale energy systems modelling framework
simplefit,
sentinel-energy,Sustainable Energy Transitions
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
MUnique,
