,description
survemobility,Europe’s No 1 for intelligent shared mobility operations.
sophisticates,
ampeersenergy,Gemeinsam machen wir Ihre Immobilien zukunftssicher
ARM-DOE,
dbt-msft,dbt projects for MSFT data ecosystem. Not affiliated with Microsoft. Original creators of dbt-synapse and dbt-fabric which have been transferred to Microsoft.
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
dspace-group,Your Partner in Simulation and Validation
vincentlab,Vincent Lab
xcompact3d,High-order finite-difference suite of flow solvers on a Cartesian mesh
PyFR,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
frankarobotics,"Founded in 2016, Franka is a robotics platform company. Our products are designed and developed in Munich, and manufactured in Bavaria"
ALaDyn,
rte-france,
rte-antares-rpackage,RTE ANTARES R PACKAGE
hadar-simulator,open source python adequacy library for everyone
powsybl,Power System Blocks
Pi-Star-Lab,"Pi Star is a research lab at the Computer Science & Engineering Department, Texas A&M University"
Hybridrain,Serving the basics
NatLabRockies,
PV-Tutorials,Tutorial materials for open-source python packages for simulating and analyzing photovoltaic power systems
sc-lab,
tdcosim,PSSE + OpenDSS + DER co-simulation project
solventx,A repository for solvent extraction process design and simulation.
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
NixOS,
AllThing,We are the AllThing. You will love us.
scirate,
OpenScienceWorkshops,
hahayes,creative group based in austin texas and melbourne australia.
SexMonad,
stupidhackathonmelbourne,
internet-high-five-machine,
ml-lab,forks of interesting repos relating to machine learning
MachineLearningUniversity,
composeconference,
DataHaskell,The home of Haskell data science
ComputingVisions,
QuantixManifold,
Quantum-AI-Blockchain,
MFPAI,
vandersilk,
BraneShop,
BetweenBooks,
rowtype-yoga,
QuantumHaskell,
FixPlanet,Supporting you to find a sustainable fixed point for the planet :)
HEPTACOM,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
corticalsim,
IEPG,
JuliaGraphs,Graph modeling and analysis packages for the Julia programming language
JuliaGaussianProcesses,
Theoretical-Neuroscience-Group,
calculix,Developers area of CalculiX Finite Element Software
rendercv,Our mission is to build the best tools for academics and engineers to write and maintain their professional CVs.
modelica,Projects of the Modelica Association
OpenModelica,
calliope-project,A multi-scale energy systems modelling framework
openmod-initiative,
renewables-ninja,"Renewable energy simulations, ninja style."
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
Open-Power-System-Data,
sentinel-energy,Sustainable Energy Transitions
liacs-EDA,
alohaeditor,A JavaScript library to replace contentEditable with better capability
sandstorm,sandstorm - building great web applications
neos,Neos is a Content Application Platform with a CMS and an application framework at its core.
bnw-digital,Arbeitsgruppe Digitales im Bundesverband Nachhaltige Wirtschaft
dd-harp,
AlgebraicJulia,An Ecosystem of Software Based on Generalized Algebra and Category Theory in Julia
tc39,"Ecma International, Technical Committee 39 - ECMAScript"
EpicGames,
NVIDIAGameWorks,NVIDIA Technologies for game and application developers
hyperwell,An Infrastructure for P2P Linked Data annotations.
sphere-radio,
thermocycle,
energy-modelling-toolkit,A fully open inter-institutional energy modelling group. It serves as an umbrella organization that hosts open datasets and models.
RAMP-project,Stochastic multi-energy load profiles
sopython,Python chat on Stack Overflow
NatLabRockies,
zavalab,The Scalable Systems Lab at UW-Madison
MadNLP,
WhitestormJS,3D Web framework (engine)
Shyran-Systems,"Community, Services, Consulting"
wallo-archive,modern access control
ait-energy,
redaxo,c/o Yakamara Media GmbH & Co. KG
propelorm,
stomp-php,Stomp PHP Client Maintenance
FriendsOfREDAXO,Gemeinsame REDAXO-Entwicklung!
jquery-validation,people and sources arround the jquery validation plugin project
sabre-io,
freifunk,
ie3-institute,Official github account of the ie3 - one of the leading German higher education research institutes in the field of energy
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
ffdo,Community Dortmund im Freifunk Rheinland e.V.
bazzline,Place for free as in freedom free software components. Its an organization so every one can join :-).
MediaLibrary,
Sektion9,
time-registration,
saxony,
be-excellent-to-each-other,
elbzone,
phpugfg,
in-your-face-productions,
billoboys,
the-g-attitude,
gescheid,
pynbody,
RWTH-OS,Part of the Institute for Automation of Complex Power Systems
nak-sued-webmasters,Community of webmasters of New Apostolic Church in South Germany. Goal: CMS solution for websites of church districts.
Sybit-Education,Educational projects at Sybit GmbH to power up our youngsters - www.sybit.com
volkszaehler,Open Source Smart Metering platform
RWTH-OS,Part of the Institute for Automation of Complex Power Systems
RWTH-ACS,
pion,"The Open Source, Cross Platform Stack for Real-time Media and Data Communication."
cunicu,zeroconf • p2p • mesh • vpn
Pure-Driving-School,
mHealthBuet,
QSCTech,一入潮门，终生潮人
NLeSC,
calliope-project,A multi-scale energy systems modelling framework
simplefit,
sentinel-energy,Sustainable Energy Transitions
TulipaEnergy,Energy System Optimization Tools from TNO and eScience
MUnique,
AntaresSimulatorTeam,
virianproject,
dielibel,
lanl,
lanl-ansi,Los Alamos Advanced Network Science Initiative
Exiv2,Image metadata library and tools
GENeSYS-MOD,
LSE-EEE,
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
a-team,
remoteoss,"Remote helps with international payroll, benefits, taxes, stock options, and compliance for businesses big and small!"
Climact,Empowering you to act on climate change
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
indibit-eu,
DARC-e-V,
puzzle,
openhab,
jungeFische,
witteveenbos,
spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers."
openfresque,We are working to increase the visibility of collective intelligence workshops by building a digital commons.
korovod,HPC for ML
ibpsa,International Building Performance Simulation Association
OpenHybridSim,OpenHybridSim:An open source tool for Electromagnetic Transient (EMT)-Transient Stability (TS) hybrid simulation
codeformuenster,
Green-Wave,
tibeerorg,Just a test organization of @tibeer
terraformbuch,
berryit,Beratung - Automation - Schulungen
Azure,"APIs, SDKs and open source projects from Microsoft Azure"
JuliaLang,The Julia Programming Language
JuliaGPU,GPU Computing in Julia
JuliaGraphics,
JuliaCI,Continuous integration (CI) support for the Julia programming language
JuliaGeometry,Computational Geometry with Julia
JuliaIO,A collection of Julia packages for unified IO infrastructure
JuliaImages,Julia packages for image processing
JuliaPackaging,Tooling for Julia's binary packages and dependencies
JuliaMath,Mathematics made easy in Julia
JuliaArrays,Custom array types (and utilities for building array types) for Julia
JuliaGizmos,A garage in dimension c-137
JuliaCollections,"Collections, Data Structures, and Algorithms for Julia"
JuliaRegistries,
JuliaLinearAlgebra,A collection of linear algebra packages for the Julia Programming Language.
JuliaDebug,
JuliaPerf,
JuliaHealth,"Using the Julia programming language to improve medicine, health care, public health, and biomedical research."
calliope-project,A multi-scale energy systems modelling framework
openmod-initiative,
repolicy,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
JuliaEnergy,
gisce,IT for Energy utilities
itesla,
thehackerwithin,
SoftwareDefinedBuildings,
coin-or,Computational Infrastructure for Operations Research.
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
JuliaSmoothOptimizers,Infrastructure and Solvers for Continuous Optimization in Julia
JuliaOptimizationVariationalAnalysis,Tools and solvers for optimization and variational analysis problems in Julia
jso-docs,
SolverStoppingJulia,Packages related to using Stopping for iterative solvers in Julia
microsoft,Open source projects and samples from Microsoft
codelayerhq,
kinicles,
BlocksInMotion,
openborders,
CPS-IT,
aspec-german,
internationalasexualityday,
DataKind-UK,
nismod,
colouring-london,"Now under ""Colouring Cities"""
ClimateCompatibleGrowth,
MSCG,
EpicGames,
ES-Tec,
OSeMOSYS,Open-source Energy Modelling System
DeltaE,ΔE+ (Delta-E-plus) explores the synergies and trade-offs at the nexus of energy+ to support effective policy development.
gridlab-d,GridLAB-D is a distribution level power system simulator designed to allow users to create and analyze smart grid technologies.
JuliaStochOpt,Stochastic Optimization in Julia
sintefore,An organization for the public available software developed by the research group
Maritime-Robotics-Student-Society,
MaritimeRenewable,
WRSC,World Robotic Sailing Championship
powsybl,Power System Blocks
ImperialCollegeLondon,Imperial College London main code repository
FrancisCrickInstitute,
goehringlab,Polarity and Patterning Networks Lab at the Francis Crick Institute
gridfm,
f3l,
Kinovarobotics,
RoboticsDesignLab,The Robotics Design Lab
openstreetmap,
osmlab,
GIScience,🌍 HeiGIT and GIScience at Heidelberg University are engaged in research and opensource development at the interface between geography and computational science
BikeCitizens,
osmfoundation,
disastermappers-heidelberg,
Mutantcat-Working-Group,我们承诺软件安全、可靠、不强制更新！
FasterEdge,对称、可靠、安全的多场景边缘计算框架
JuliaGraphics,
oemof,Open Energy Modelling Framework - A modular open source framework to model energy supply systems
wind-python,
open-fred,open Feed-in time series based on a Renewable Energy Database
oemof-heat,Modelling energy systems with focus on heat and power-to-heat using oemof
reegis,
ScienceBasedTargets,
UniDank,Progetti del corso di Informatica L-31 ad UniPa
cheshire-cat-ai,
STEllAR-GROUP,
RDCEP,
alumNY,This is an older github org we used to use for hackNY stuff. We now use github.com/hackny.
elm-lang,Official organization for developing Elm's compiler and core tools
hack-at-uchicago,
PowerGridModel,Steady-state distribution power system analysis
pypsa-meets-earth,An open source energy system model initiative for our Earth
powsybl,Power System Blocks
MaREI-EPMG,
ls1intum,"Technical University of Munich - School of Computation, Information and Technology"
seapath,
Open-Power-System-Data,
Joulia-jl,We moved to JuliaEnergy
JuliaEnergy,
openhab,
ARM-DOE,
CxxTest,
gcovr,
Pyomo,
llvm,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.
SpeedyWeather,We reinvent atmospheric modelling.
TUM-PIK-ESM,Earth System Modelling Group at TUM / Future Lab Artificial Intelligence in the Anthropocene at PIK
UARENForecasting,
pvlib,
conda-forge,"A community led collection of recipes, build infrastructure and distributions for the conda package manager."
DandI-Group,
CastroRegionalClimateGroup,
CLIMAS-UA,
openpvtools,
SolarArbiter,
SolarPerformanceInsight,
GridOptiSolutions,
flexiblepower,FAN is open standard and implementation that connects devices with energy management services.
guwenLab,构建一个基于PC + 移动端 + App + 小程序的全生态浏览体系 ，最后的目标是做一个免费 开源的古文社区
varletjs,varletjs organization
willjschmitt-codeu-2018,
UCL,To join the organisation contact UCL's Advanced Research Computing Centre via MyServices
SALib,Sensitivity analysis library for systems modeling
OSeMOSYS,Open-source Energy Modelling System
nismod,
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
Spilett-new-technologies-GmbH,"Projekten in den Bereichen Erneuerbare Energien, Wasserstofftechnologie, Mobilität und gesellschaftlicher Wandel."
juliakorea,Julia Korea organization
GridOPTICS,
zavalab,The Scalable Systems Lab at UW-Madison
PPOE,
my-stage,
EMTech-AUTh,The Hellenic Space Dawn space mission involving a constellation of nanosatellites. This hosts FOSS developed by the Aristotle University of Thessaloniki
julia-lang-athens,"This organization is about the Julia users group based in Athens, Greece."
gafusion,Theory group code repository
Parsl,"Parsl: Enabling easy parallelism on clusters, clouds and supercomputers."
UGM-EPSLab,
JuliaOpt,(Obsolete organization; see github.com/jump-dev) Mathematical Optimization in Julia
JuliaGeo,"JuliaGeo is a community of researchers, engineers and others interested in working with spatial data in Julia."
pypsa-meets-earth,An open source energy system model initiative for our Earth
open-energy-transition,Non-profit that accelerates the energy transition with open data and open source software solutions.
CogniPilot,
tdcosim,PSSE + OpenDSS + DER co-simulation project
powsybl,Power System Blocks
acados,
pangeo-data,A community effort for big data geoscience
catalyst-cooperative,Catalyst is a small data engineering cooperative working on electricity regulation and climate change.
GWA-grid-team,Goldwind Australia grid team enterprise workspace
PowerGridModel,Steady-state distribution power system analysis
bioperl,"Free and Open Source Perl tools for bioinformatics, genomics, and life science"
PDLPorters,"PDL (""Perl Data Language"") gives standard Perl the ability to compactly store and speedily manipulate large N-dimensional data arrays"
CougarCS,CougarCS ❤️ Computer Science
SnapSyllabus,
eclectic-extractions,
Perl5-Alien,"This is the old home of alienfile + Alien::Base + Alien::Build, please see the new org: https://github.com/PerlAlien"
HoustonHackers,
oh-uhouston,
perl-grimoire,
project-renard,
EntropyOrg,
orbital-transfer,
primordial-soup,"Scraping, transformation, etc."
EntropyOrg-staging,
bluebonnet,"remote storage / VFS (rclone, freenet)"
EntropyOrg-web,
EntropyOrg-data,
UHCodeRED,
NacrePerl,
CBL-ORION,
wearehx,
project-renard-survey,Survey of software for @project-renard
ikiwiki-dakine,
orbital-transfer-survey,Survey of software for @orbital-transfer
zmughal-CPAN,CPAN modules (Perl 5/7) maintained by @zmughal
perl-actions,actions helper for Github workflows
PerlAlien,Create and use non-Perl dependencies for CPAN
PerlFFI,Libraries and tools for developing FFI bindings in Perl
zmughal-contrib,Contributions by @zmughal
DesmosomeOrg,A binding body
Perl-OpenMP,Perl and OpenMP. What could possibly go right.
perlrdf,Modules for working with RDF using Perl
Perl-GPU,"Perl, OpenGL, and other hardware acceleration libraries"
devcontrol,
geultto,
wirc-sjsu,WIRC is a group of researchers who focus on all aspects of wildfire science and management to better understand fire in California and around the world.
datadrivenenvirolab,
EEYale,
SCMStandz,Single column standartisation
amd,
ROCm,
AMD-HPC,
AMD-AI,
elyra-ai,Elyra is an open source set of AI-centric extensions to JupyterLab Notebooks. The project is hosted in incubation in the LF AI & Data Foundation.
claimed-framework,CLAIMED is a runtime and programming language agnostic Data & AI component framework abstracting away all complexity for advanced MLOps and TrustedAI.
viomedi,Medical Video Conference Services
NOWUM,
IntergatedCircuits,Embedded connectivity solutions
fhooe,
PCSL-git,
schism-dev,
nightingale-media-player,A desktop media player based of retired Songbird.
webis-de,Web Technology & Information Systems Group (Webis Group)
pan-webis-de,Technologies for the Digital Text Forensics
keepassxreboot,"Developing a community driven, offline password manager"
chatnoir-eu,ChatNoir Research Web Search Engine
Energy-Science-Center,
PIR-IDS,Research project on the analysis of the evolution of information systems and on a proposed IDS (Intrusion Detection System) design method adapted to these.
Impact-Finance,Building sustainable digital economies to support high-impact causes.
MacRuby,
ManhattanMetric,
openmichigan,
toming-energy,
XRealities,
Gradure-Inc,
btcu-pro,Blockchain Technology Community of Universities
PrimitivesLane,
WTFAcademy,Web3 Open-Source University for Developers
sherlock-audit,Decentralized exploit protection
0xevm,
ic123-xyz,互联网计算机ICP的技术文档导航
megaeth-labs,"MegaETH is real-time Ethereum, streaming transactions at lightning speed: sub-millisecond latency and over 100,000 transactions per second."
zkp-learning,
ZKMod-Lab,
bs2-labs,
mhlabCodingTeam,
ViennaTools,"Open-source, high-performance frameworks for semiconductor process emulation and simulation."
baratito,"Comprá inteligente, comprá baratito 😎"
poly-blockchain,
bigladder,Building Energy Simulation Tools
dfirtrack,
senecon,
secotrust,
twisted,
